Harga,Cicilan,Alamat,KT,KM,Garasi,LT,LB
81250 ,Cicilan : 8 Jutaan per bulan,"Taman Kopo Indah, Bandung",2.00 ,1.00 ,1.00 ,108.00 ,51.00 
61750 ,Cicilan : 6 Jutaan per bulan,"Bojongsoang, Bandung",3.00 ,2.00 ,1.00 ,100.00 ,62.00 
130000 ,Cicilan : 14 Jutaan per bulan,"Taman Kopo Indah, Bandung",4.00 ,4.00 ,1.00 ,250.00 ,300.00 
422500 ,Cicilan : 46 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,2.00 ,398.00 ,336.00 
45500 ,Cicilan : 5 Jutaan per bulan,"Babakanciparay, Bandung",3.00 ,2.00 ,0.00 ,130.00 ,115.00 
20475 ,Cicilan : 2 Jutaan per bulan,"Pasir Koja, Bandung",2.00 ,1.00 ,0.00 ,72.00 ,50.00 
22490 ,Cicilan : 2 Jutaan per bulan,"Kopo, Bandung",2.00 ,2.00 ,0.00 ,84.00 ,50.00 
32500 ,Cicilan : 3 Jutaan per bulan,"Buah Batu, Bandung",3.00 ,2.00 ,0.00 ,120.00 ,80.00 
279500 ,Cicilan : 30 Jutaan per bulan,"Mekar Wangi, Bandung",4.00 ,3.00 ,1.00 ,200.00 ,300.00 
386750 ,Cicilan : 42 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,2.00 ,420.00 ,300.00 
84500 ,Cicilan : 9 Jutaan per bulan,"Leuwi Panjang, Bandung",4.00 ,1.00 ,0.00 ,180.00 ,150.00 
81250 ,Cicilan : 9 Jutaan per bulan,"Gede Bage, Bandung",3.00 ,1.00 ,0.00 ,118.00 ,106.00 
94900 ,Cicilan : 10 Jutaan per bulan,"Setiabudi, Bandung",3.00 ,2.00 ,1.00 ,131.00 ,99.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Pasteur, Bandung",6.00 ,3.00 ,2.00 ,380.00 ,314.00 
46800 ,Cicilan : 5 Jutaan per bulan,"Bojongsoang, Bandung",4.00 ,2.00 ,0.00 ,98.00 ,73.00 
46540 ,Cicilan : 5 Jutaan per bulan,"Cicaheum, Bandung",2.00 ,2.00 ,2.00 ,80.00 ,72.00 
43680 ,Cicilan : 4 Jutaan per bulan,"Gede Bage, Bandung",3.00 ,2.00 ,2.00 ,68.00 ,60.00 
14950 ,Cicilan : 1 Jutaan per bulan,"Dago, Bandung",3.00 ,2.00 ,0.00 ,46.00 ,92.00 
237250 ,Cicilan : 26 Jutaan per bulan,"Buah Batu, Bandung",4.00 ,4.00 ,2.00 ,169.00 ,250.00 
208000 ,Cicilan : 22 Jutaan per bulan,"Pasteur, Bandung",3.00 ,3.00 ,2.00 ,157.00 ,180.00 
1235000 ,Cicilan : 136 Jutaan per bulan,"Sumurbandung, Bandung",6.00 ,4.00 ,0.00 ,745.00 ,630.00 
422500 ,Cicilan : 46 Jutaan per bulan,"Batununggal, Bandung",5.00 ,4.00 ,2.00 ,360.00 ,450.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Regol, Bandung",4.00 ,2.00 ,2.00 ,280.00 ,358.00 
37375 ,Cicilan : 4 Jutaan per bulan,"Cibaduyut, Bandung",2.00 ,1.00 ,0.00 ,71.00 ,50.00 
82550 ,Cicilan : 9 Jutaan per bulan,"Antapani, Bandung",3.00 ,2.00 ,0.00 ,80.00 ,90.00 
